,Date,Location / Operator,Aircraft Type / Registration,Fatalities
24,04 Jul 2001,"Near Irkutsk, RussiaVladivostokavia",Tupolev TU-154MRA-85845,145/145(0)
25,05 Jul 2001,"Off Chinhae, South KoreaPrivate - Daewoo Shipbuilding",Sikorsky S-76B helicopterHL9240,8/12(0)
26,12 Jul 2001,"Near Puerto Cabello, VenezuelaPrivate - Overtec Company",Antonov AN-28 PZL-Mielec M-28 Sky TruckYV-117CP,13/13(0)
27,14 Jul 2001,"Near Moscow, RussiaRuss Air Transport Company",Ilyushin IL-76RA-76588,10/10(0)
28,05 Aug 2001,"Reykjavík, IcelandNaske Air",Dassault Falcon 20CD-CBNA,3/3(0)
29,10 Aug 2001,"Near Meadview, ArizonaPapillon Grand Canyon Helicopters of Las Vegas",Aerospatiale AS350 Eurocopter helicoperN169PA,6/7(0)
30,23 Aug 2001,"Mugogo, Democratic Republic CongoVictoria Airlines",Antonov 283C-LLA,4/11(0)
31,24 Aug 2001,"Ithaca, New YorkAmeristar Jet Charter",Learjet 25N153TW,2/2(0)
32,24 Aug 2001,"Lajes, Terceira, AzoresAir Transat",Airbus A-330-243C-GITS,0/304(0)
33,29 Aug 2001,"Near Malaga, SpainBinter Mediterráneo",CASA CN-235-200EC-FBC,4/47(0)
34,11 Sep 2001,"Arlington, Virginia.American Airlines",Boeing B-757-223N644AA,64/64(125)
35,11 Sep 2001,"New York City, New YorkAmerican Airlines",Boeing 767-223ERN334AA,92/92(2750)
36,11 Sep 2001,"New York City, New YorkUnited Air Lines",Boeing B-767-222N612UA,65/65(2750)
37,11 Sep 2001,"Shanksville, PennsylvaniaUnited Air Lines",Boeing B-757-222N591UA,44/44(0)
38,12 Sep 2001,"Near Chichen Itza, MexicoAero Ferinco Charter",LET 410UVPXA-ACM,19/19(0)
39,15 Sep 2001,"Belo Horizonte, BrazilTAM (Brazil)",Fokker 100PT-MRN,1/82(0)
40,18 Sep 2001,"Guatemala City, GuatemalaAtlantic Airlines",LET 410UVP-ETG-CPE,9/13(0)
41,04 Oct 2001,"110 miles SW of Sochi, RussiaSibir Airlines",Tupolev Tu-154MRA-85693,78/78(0)
42,08 Oct 2001,"Mollet Lake, Quebec, CanadaAir Saint Maurice Inc.",de Havilland DHC-2 Mk 1 BeaverC-GPUO,3/7(0)
43,08 Oct 2001,"Milan, ItalyScandinavian Airlines (SAS) / Private",MD-87 / Cessna 525A Citation IISE-DMA / D-IEVX,114/114(4)
44,10 Oct 2001,"Off Valencia, SpainFlightline",Swearingen SA-226AT Merlin IVEC-GDV,10/10(0)
45,10 Oct 2001,"Dillingham, AlaskaPenAir",Cessna 208 CaravanN9530F,10/10(0)
46,11 Oct 2001,"Shamattawa, CanadaPerimeter Airlines",Swearingen SA.226TC Metro IC-GYPA,2/3(0)
47,18 Oct 2001,"Anchorage, AlaskaERA Aviation - Air Taxi",Bell 206LN400EH,3/5(0)
48,12 Nov 2001,"Belle Harbor, Queens, New YorkAmerican Airlines",Airbus A-300-605RN14053,260/260(5)
49,19 Nov 2001,"Kalyazin, RussiaCharter - IRS Aero",Ilyushin 18VRA-75840,27/27(0)
50,22 Nov 2001,"Pittsburgh, PennsylvaniaUniversal Jet Aviation",Learjet 25BN5UJ,2/2(0)
51,23 Nov 2001,"Palade, EstoniaELK Aviation Co. (leased from Eminex)",Antonov AN-28ES-NOV,2/17(0)
52,24 Nov 2001,"Birchwil, SwitzerlandCrossair",BAE Avro RJ100HB-IXM,24/33(0)
53,27 Nov 2001,"Port Harcourt, NigeriaMK Airlines",Boeing 747-246F9G-MKI,1/13(0)
54,01 Dec 2001,"Near Novaya Inya , RussiaMilitary - Russian, cargo",Ilyushin IL- 76TDRA-76839,18/18(0)
55,14 Dec 2001,"Geti, Democratic Republic CongoEagle Air",Let 410A5X-CNF,6/6(0)
56,16 Dec 2001,"Near Medellin, ColombiaHeliandes",Let 410UVP-EHK-4175X,16/16(0)
57,26 Dec 2001,"Bremerhaven, GermanyBAL Bremerhaven Airline",Britten Norman BN-2B TrislanderD-IAAI,8/9(0)
0,04 Jan 2002,"Birmingham, EnglandAgco Corp",Canadair CL-604 N90AG,5/5(0)
1,09 Jan 2002,"Shamsi AFB, PakistanMilitary - U.S. Air Force",Lockheed Hercules KC-130R160021,7/7(0)
2,14 Jan 2002,"Bilbao, SpainIbertrans Aérea",Embraer EMB-120 BrasiliaEC-GTJ,3/3(0)
3,15 Jan 2002,"Chilpancingo, MexicoProcuraduría General de la República",de Havilland DHC-6 Twin Otter 300XC-FIT,5/17(0)
4,16 Jan 2002,"Near Solo, IndonesiaGaruda Indonesia Airlines",Boeing B-737-3Q8PK-GWA,1/62(0)
5,17 Jan 2002,"Near La Bonita, EcuadorPetroproducción",Fairchild FH-227EHC-AYM,26/26(0)
6,27 Jan 2002,"Near Luena, AngolaMilitary - Angolan Air Force",Antonov AN-12T-304,5/40(0)
7,28 Jan 2002,"Near Ipiales, ColombiaTAME",Boeing B-727-134HC-BLF,92/92(0)
8,12 Feb 2002,"Near Khorramabed, IranIran Air Tours",Tupolev TU-154EP-MBS,117/117(0)
9,15 Feb 2002,"Monrovia, LiberiaTiramavia",Antonov 12BPER-ADL,1/10(0)
10,21 Feb 2002,"Lakhta, RussiaMilitary - Russian Navy",Antonov AN-2607RED,17/20(0)
11,22 Feb 2002,"Off Dumaguete, PhilippinesMilitary - U.S. Army",MH-47 Chinook helicopter92-0471,10/10(0)
12,09 Mar 2002,"Monte Rotondo, ItalySvedijos Prekés",Antonov 2TPLY-AVD,3/3(0)
13,14 Mar 2002,"Near Placetas, CubaCharter - Aerotaxi",Antonov AN-2CU-T1020,17/17(0)
14,17 Mar 2002,"Off Djibouti, Republic of DjiboutiDjibouti Airlines",Let 410UVP-EJ2-KBC,4/4(0)
15,12 Apr 2002,"Palma de Mallorca, SpainTadair",Swearingen SA.227AC Metro IIIEC-GKR,2/2(0)
16,15 Apr 2002,"Busan, South KoreaAir China",Boeing B-767-200ERB-2552,128/166(0)
17,19 Apr 2002,"Popayán, ColombiaSELVA Colombia",Antonov AN-32AHK-4171X,3/8(0)
18,28 Apr 2002,"Near Abakan, RussiaPrivate",Mi-8 helicopter?,8/20(0)
19,04 May 2002,"Kano, NigeriaEAS Airlines (Executive Airline Services)",BAC One-Eleven 525FT5N-ESF,74/77(78)
20,07 May 2002,"Near Tunis, TunisiaEgyptAir",Boeing B-737-566SU-GBI,14/62(0)
21,07 May 2002,"Off Dalian, ChinaChina Northern Airlines",McDonnell Douglas MD-82B-2138,112/112(0)
22,21 May 2002,"Near Calabar, NigeriaSky Executive Air Services",LET 410UVP9Q-CEX,5/5(0)
23,25 May 2002,"Off Penghu Island, TaiwanChina Airlines (Taiwan)",Boeing B-747-209BB-18255,225/225(0)
24,25 May 2002,"Near Nabire, IndonesiaTrigana Air Service",de Havilland Canada DHC-6 Twin Otter 300PK-YPZ,6/6(0)
25,01 Jun 2002,"George, South AfricaAirquarius Aviation - Charter",Hawker Siddeley HS-748-372ZS-OJU,3/3(0)
26,02 Jun 2002,"Near Ndalatando, AngolaMilitary - Angolan Armed Forces",Mi-17?,20/25(0)
27,12 Jun 2002,"Near Gardez, AfghanistanMilitary - U.S. Air Force",Lockheed MC-130H Hercules84-0475,3/10(0)
28,01 Jul 2002,"Uberlingen, GermanyBashkirian Airlines / DHL Worldwide Express",Tupolev TU-154M / Boeing B-757-23APFRA85816/A9C-DHL,71/71(0)
29,04 Jul 2002,"Bangui, Central African RepublicPrestige Airlines (Cargo) Charter",Boeing B-707-123B9XR-IS,27/27(0)
30,16 Jul 2002,"Near Long Barai, IndonesiaSabang Merauke Raya Air Charter",Britten-Norman BN-2A IslanderPK-TAR,10/10(0)
31,16 Jul 2002,"Off Cromer, Norfork, EnglandBristow Helicopters",Sikorsky S-76AG-BJVX,11/11(0)
32,17 Jul 2002,"Surkhet, NepalSkyline Airways",de Havilland Canada DHC-6 Twin Otter 3009N-AGF,4/4(0)
33,27 Jul 2002,"Lviv, UkraineMilitary - Ukraine Air Force",Sukhoi Su-2742,0/2(85)
34,28 Jul 2002,"Moscow, RussiaPulkovo Aviation Enterprise",Iluyshin Il-86RA-86060,14/16(0)
35,07 Aug 2002,"Caguas, Puerto RicoMilitary - U.S. Air Force",Lockheed MC-130H Hercules90-0161,10/10(0)
36,15 Aug 2002,"Kadjuduwa Watta, Sri LankaMilitary - Sri Lanka Air Force",Yunshuji Y-8DCR-873,5/5(0)
37,19 Aug 2002,"Khankala, ChechnyaMilitary - Russian Air Force",Mil Mi-2689RED,121/147(0)
38,22 Aug 2002,"Pokhara, NepalShangri La Air",de Havilland Canada DHC-6-300 Twin Otter9N-AFR,18/18(0)
39,29 Aug 2002,"Near Ayan, RussiaVostok Aviakompania",Antonov AN-28RA-28932,16/16(0)
40,30 Aug 2002,"Rio Branco, BrazilRico Taxi Aéreo",Embraer 120ER BrasiliaPT-WRQ,23/31(0)
41,14 Sep 2002,"Paranapanema, Sao Paulo, BrazilTotal Air Lines",ATR 42-300PT-MTS,2/2(0)
42,28 Sep 2002,"Near Natashquan, Quebec, CanadaDeraps Aviation",de Havilland Canada DHC-3 OtterC-FLGA,3/4(0)
43,01 Oct 2002,"Vasco, IndiaMilitary - Indian Navy",Ilyushin IL-38 / Ilyushin IL-38IN302 / IN304,12/12(5)
44,06 Nov 2002,"Near Niederanven, LuxembourgLuxair",Fokker 50LX-LGB,20/22(0)
45,07 Nov 2002,"Tarakan, IndonesiaDirgantara Air Services",Britten-Norman BN-2A-21PK-VIZ,7/10(0)
46,08 Nov 2002,"Taos, New MexicoRichmor Aviation",IAI 1124A WestwindN61RS,2/2(0)
47,11 Nov 2002,"Manila, PhilippinesLaoag International Airlines",Fokker F27 Friendship 100RP-C6888,19/34(0)
48,28 Nov 2002,"Masai Mara Game Reserve, KenyaEagle Aviation",Let 410UVP-E205Y-ONT,1/20(0)
49,13 Dec 2002,"Gohu Airstrip, Papua New GuineaIsland Airways Ltd.",Britten-Norman BN-2A-26 IslanderP2-CBB,8/8(0)
50,17 Dec 2002,"Rockford, IllinoisPlanemasters",Cessna 208B Caravan I Super CargomasterN277PM,1/1(0)
51,21 Dec 2002,"Off Pachao Tao, TaiwanTransasia Airways",Aérospatiale/Aeritalia ATR-72-202B-22708,2/2(0)
52,23 Dec 2002,"Near Isfanan, IranAeromist-Kharkiv",Antonov AN-140UR-14003,44/44(0)
53,26 Dec 2002,"Curitiba, BrazilMilitary - Brazilian Air Force",Embraer-110 C-95B BandeiranteFAB-2292,3/16(0)
54,27 Dec 2002,"Anjouan, Comoros IslandsOcean Airlines",Let 410UVP9XR-RB,1/16(0)
0,08 Jan 2003,"Charlotte, North CarolinaUS Air Express/Air Midwest",Beech BE-1900DN233YV,21/21(0)
1,08 Jan 2003,"Diyarbakir, TurkeyTurkish Airlines (THY)",BAe Avro RJ-100TC-THG,75/80(0)
2,09 Jan 2003,"Near Chachapoyas, PeruTANS Airlines",Fokker 28 Fellowship 1000OB-1396,46/46(0)
3,17 Jan 2003,"Near Ndjolé, GabonAerocom",Antonov 24BER-AFT,7/7(0)
4,24 Jan 2003,"Busia, KenyaAfrican Commuter Services",Grumman G-159 Gulfstream I5Y-EMJ,3/13(0)
5,31 Jan 2003,"Baucau, East TimorEuro Asia Aviation",Ilyushin II-76TDRDPL-34141,6/6(0)
6,07 Feb 2003,"Near Agadir, MoroccoVolare Aviation Enterprise",Antonov 12BPUR-LIP,8/8(0)
7,10 Feb 2003,"Tallinn, EstoniaEnimex",Antonov AN-28ES-NOY,2/3(0)
8,16 Feb 2003,"Ferguson, KentuckyAir Taxi - Great Northern Aircraft Co.",Cessna 421N421TJ,3/7(0)
9,19 Feb 2003,"Near Shahdad, IranMilitary - Islamic Revolution's Guards Corps",Ilyushin Il-76MD15-22,275/275(0)
10,20 Feb 2003,"Near Kohat, PakistanMilitary - Pakistan Air Force",Fokker F-27 Friendship 20010254,17/17(0)
11,01 Mar 2003,"Near Barki, RussiaPrivate - Kabanov - skydiving",Let L-410UVPFLARF-01032,11/25(0)
12,06 Mar 2003,"Tamanrasset, AlgeriaAir Algerie",Boeing B-737-2T47T-VEZ,102/103(0)
13,27 Mar 2003,"Mulia, IndonesiaPT Air Regional",de Havilland Canada DHC-6 Twin OtterPK-WAY,4/16(0)
14,28 Mar 2003,"New Vienna, IowaMorris Hancock Flying Club - Charter",Beech A36N1636W,3/3(0)
15,08 May 2003,"Near Kinshasa, CongoUkrainian Cargo Airlines - Congolese Army Charter",Illyushin 76UR-UCB,129/200(0)
16,26 May 2003,"Near Macka, TurkeyUkranian-Mediterranean Airlines",Yakovlev 42DUR-42352,75/75(0)
17,28 May 2003,"Talkeetna, AlaskaMcKinley Air Service - Air Taxi",Cessna 185N70176,4/4(0)
18,01 Jun 2003,"Milan, ItalyEurojet Italila",Gates Learjet 45I-ERJC,2/2(0)
19,04 Jun 2003,"Near Oiapoque, BrazilAir Taxi - Marco Zero Air Taxi",EMB 721C SertanejoPT-EPH,5/5(0)
20,06 Jun 2003,"Christchurch, New ZealandCharter - Air Adventures New Zealand Ltd",Piper PA-31-350 Navajo ChieftainZK-NCA,8/10(0)
21,11 Jun 2003,"Belo Horizonte, BrazilAstro Air Taxi",Embraer 820C NavajoPT-EHH,4/4(0)
22,15 Jun 2003,"Volcano, HawaiiParadise Tour Helicopters",McDonnell Douglas 369DN4493M,4/4(0)
23,22 Jun 2003,"Near Brest, FranceBrit Air",Canadair CRJ-100ERF-GRJS,1/24(0)
24,25 Jun 2003,"Near Rudshour, IranMilitary - Islamic Republic of Iran Air Force",Lockheed C-130 Hercules?,7/7(0)
25,25 Jun 2003,"Anchor Point, AlaskaHallo Bay Air - Air Taxi",Cessna 180HN91303,3/3(0)
26,26 Jun 2003,"Near Rooisand Desert Ranch, NamibiaComvac Aviation",Cessna 208B Grand CaravanV5-CAS,4/4(0)
27,30 Jun 2003,"Blida, AlgeriaMilitary - Algerian Air Force",Lockheed C-130H Hercules7T-WHQ,4/4(11)
28,01 Jul 2003,"Belem, Para, BrazilHeringer Air Taxi",Mitsubishi MU 2B 35PT-LFX,4/4(0)
29,05 Jul 2003,"Macaé, Rio de Janeiro, BrazilBHS - Brazilian Helicopter Services",Sikorsky S 76 APT-YVM,5/5(0)
30,08 Jul 2003,"Port Sudan, SudanSudan Airways",Boeing 737-2J8CST-AFK,117/117(0)
31,13 Jul 2003,"Near San Cristobal, VenezuelaRuiban & Duran Compania Aérea",Let 410UVP-EYV-1060CP,4/10(0)
32,13 Jul 2003,"Off Treasure Cay, BahamasAir Sunshine",Cessna 402CN314AB,2/10(0)
33,19 Jul 2003,"Mount Kenya, KenyaRyan Blake Air Charter",Swearingen SA-226T Metro IIZS-OYI,14/14(0)
34,23 Jul 2003,"Waialeale,Kauai, HawaiiJack Harter Helicopters",Bell 206BN37741,5/5(0)
35,04 Aug 2003,"Groton, ConnecticutJet Pro",Gates Learjet 35AN135PT,2/2(0)
36,08 Aug 2003,"Tocomita, VenezuelaServicios Aeronauticos Sucre (SASCA)",Cessna 208B Grand CaravanYV-1069C,1/16(0)
37,17 Aug 2003,"Near Barrow, AlaskaHageland Aviation Services Inc.",Reims Aviation 406N6591L,2/2(0)
38,20 Aug 2003,"Kamchatka Peninsula, RussiaKhalatyrka",Mi-8 helicopter?,20/20(0)
39,24 Aug 2003,"Cap Haitien, HaitiTropical Airways",Let 420UVP-EHH-TAD,21/21(0)
40,26 Aug 2003,"Off Hyannis, MassachusettsUS Airways Express",Beechcraft 1900DN240CJ,2/2(0)
41,11 Sep 2003,"Near Summer Beaver, CanadaWasaya Airways",Cessna 208B Grand CaravanC-FKAB,8/8(0)
42,19 Sep 2003,"Near La Quemada, MexicoMilitary - Mexican Air Force",Lockheed C-130A Hercules3603,6/6(0)
43,19 Sep 2003,"Del Rio, TexasAmeristar Jet Charter",Learjet 25BN666TW,1/2(0)
44,20 Sep 2003,"Near Meadview, ArizonaSundance Helicopters",Aerospatiale AS350BAN270SH,7/7(0)
45,27 Sep 2003,"Gaspé, Quebec, CanadaLes Ailes de Gaspé Inc.",Piper PA31-310C-FARL,3/3(0)
46,03 Oct 2003,Sao Gabriel de CachoeriaAir taxi - Rumo Notre Air Taxi,EMB 721C SertanejoPT-EBK,4/4(0)
47,03 Oct 2003,"Off Waikanae, New ZealandAir Freight New Zealand",Convair CV-580FZK-KFU,2/2(0)
48,11 Oct 2003,"Uriman, VenezuelaTransmandu",Antonov AN-2TPYV-1128C,1/2(0)
49,26 Oct 2003,"Buenos Aires, ArgentinaCATA Linea Aerea",Fairchild Hiller FH-227BLV-MGV,5/5(0)
50,27 Oct 2003,"Tampico, MexicoAeroextra",Hawker 800AXA-ISH,3/3(0)
51,29 Oct 2003,"Cody, WyomingFedEx",Cessna 208B Caravan I Super CargomasterN791FE,1/1(0)
52,02 Nov 2003,"Near Hasi, IraqMilitary - U.S. Army",CH-47 Chinook?,15/36(0)
53,08 Nov 2003,"200 miles NE of Derby, AustraliaHeliwork WA Pty Ltd. - Air Taxi",Robertson R44 helicopterVH-YKL,4/4(0)
54,08 Nov 2003,"Near Ogle, GuyanaTrans Guyana Airways",Shorts SC-7 Skyvan 3M Variant 1008R-GMC,2/7(0)
55,15 Nov 2003,"Mosul, IraqMilitary - U.S. Army",UH-60 Black Hawk / UH-60 Black Hawk? / ?,17/22(0)
